#       RA           DEC
      14.7577     -31.9322
      13.8659     -33.0858
      12.5783     -33.9486
      11.0187     -34.4304
      9.34961     -34.4798
      7.75052     -34.0913
      6.39009     -33.3067
      5.31167     -32.0583
      4.83932     -30.7415
      4.85626     -29.3644
      5.34158     -28.0547
      6.23637     -26.9293
      7.45291     -26.0858
      8.88300     -25.5960
      10.4058     -25.5009
      12.5840     -26.1046
      13.7930     -26.9569
      14.6776     -28.0888
      15.1507     -29.4020
      15.1542     -30.7791
      12.4955     -31.6166
      11.4697     -32.3720
      10.1535     -32.6813
      8.80656     -32.4831
      7.69637     -31.8169
      7.04709     -30.8508
      6.92358     -29.7037
      7.36128     -28.6168
      8.26644     -27.7856
      9.47228     -27.3557
      10.7687     -27.4015
      11.3896     -27.6074
      12.4064     -28.3291
      13.0001     -29.3572
      13.0517     -30.5084
      17.7070     -33.8447
      16.5661     -35.1937
      15.0605     -36.2937
      13.2611     -37.0819
      11.2658     -37.5110
      9.19322     -37.5545
      7.17002     -37.2098
      5.31765     -36.4981
      3.73951     -35.4625
      2.37449     -33.9671
      1.60479     -32.4543
      1.25669     -30.8371
      1.32506     -29.1940
      1.78701     -27.6008
      2.60614     -26.1280
      3.73579     -24.8382
      5.12143     -23.7852
      6.70251     -23.0121
      8.41394     -22.5501
      10.1876     -22.4177
      11.9539     -22.6204
      14.0950     -23.3549
      15.5879     -24.2702
      16.8550     -25.4456
      17.8384     -26.8327
      18.4872     -28.3730
      18.7595     -29.9999
      18.6251     -31.6400
      16.2571     -32.9912
      15.2035     -34.2418
      13.7785     -35.2228
      12.0735     -35.8625
      10.2110     -36.1123
      8.33219     -35.9530
      6.58063     -35.3968
      5.08421     -34.4863
      4.17583     -33.5932
      3.34865     -32.2325
      2.96353     -30.7405
      3.02410     -29.2138
      3.50707     -27.7463
      4.36812     -26.4249
      5.54681     -25.3253
      6.97069     -24.5091
      8.55864     -24.0213
      10.2239     -23.8884
      11.8773     -24.1177
      13.4483     -24.7063
      14.8114     -25.6072
      15.9080     -26.7757
      16.6686     -28.1462
      17.0369     -29.6394
      16.9739     -31.1661
      21.3983     -33.4067
      20.5877     -35.1028
      19.3880     -36.6457
      17.8208     -37.9770
      15.9292     -39.0423
      13.7793     -39.7955
      11.4587     -40.2023
      9.07084     -40.2434
      6.72590     -39.9170
      4.52973     -39.2384
