# Dec     HA      AirmassLimit
-89.     5:15:00    2.00
-85.     5:15:00    1.94
-80.     5:15:00    1.90
-75.     5:15:00    1.89
-70.     5:15:00    1.88
-65.     5:15:00    1.89
-60.     5:15:00    1.92
-55.     5:15:00    1.96
-50.     5:15:00    2.02
-45.     5:15:00    2.10
-40.     5:15:00    2.20
-35.     5:15:00    2.34
-30.     5:15:00    2.50
-25.     5:15:00    2.72
-20.     5:15:00    3.00
-15.     5:06:00    3.05
-10.     4:54:00    3.02
-5.      4:48:00    3.20
0.       4:36:00    3.20
5.       4:18:00    3.06
10.      4:06:00    3.11
15.      3:48:00    3.06
20.      3:30:00    3.08
25.      3:12:00    3.18
30.      2:42:00    3.12
