# author: mariaeli@des40.fnal.gov
# date: 2018/01/25 14:44:11 UTC
# version: obztak v3.3rc5+15.gb0fad40.dirty
HEX,RA,DEC,FILTER,EXPTIME,TILING,PRIORITY,DATE,AIRMASS,SLEW,MOONANGLE,HOURANGLE
11,229.3930,6.4060,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
69,229.9940,9.4150,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
70,228.8220,7.9570,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
85,228.2590,9.4960,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
102,226.5450,9.5490,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1100,229.9840,4.8390,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1105,227.1330,7.9980,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1107,228.3530,4.8530,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1108,229.0090,3.2540,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1113,224.8480,9.5810,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1114,225.4600,8.0210,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1115,226.0840,6.4470,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1116,226.7310,4.8590,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1117,227.4110,3.2530,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1123,223.1640,9.5970,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1124,223.7980,8.0310,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1125,224.4450,6.4520,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1126,225.1140,4.8590,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1127,225.8120,3.2510,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1135,221.4870,9.6010,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1137,222.8100,6.4490,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1138,223.4970,4.8540,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1139,224.2120,3.2460,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1148,219.8150,9.5940,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1149,220.4890,8.0230,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1150,221.1750,6.4400,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
1151,221.8800,4.8460,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
