# BLISS footprint polygon
#  Poly 1: Planet 9 (RA < 360)
#  Poly 2: Planet 9 (RA > 360)
#  Poly 3: LIGO/MW & Alfredo
#RA     DEC       POLY
360     -25       1 
350     -25       1 
340     -25       1 
330     -25       1 
310     -25       1 
305     -25       1 
305     -30       1 
305     -35       1 
305     -40       1 
305     -40       1 
310     -40       1 
320     -40       1 
330     -40       1 
340     -40       1 
350     -40       1 
356     -40       1
360     -35       1
0       -25       2
5       -25       2 
3       -28       2 
2       -30       2 
1       -32.5     2 
0       -35       2 
134     -30       3 
140     -30       3 
145     -30       3 
150     -30       3 
148     -28       3 
145     -25       3 
139     -20       3 
135     -16       3 
135     -13       3 
137     -11       3 
139     -10.5     3 
142     -10.5     3 
144     -10.5     3 
145     -11       3 
148     -15       3 
154     -20       3 
162     -25       3 
173     -30       3 
180     -30       3 
190     -30       3 
200     -30       3 
210     -30       3 
220     -30       3 
230     -30       3 
240     -30       3 
252     -30       3 
247     -35       3 
241     -40       3 
232     -45       3 
228     -47       3 
217     -50       3 
202     -53       3 
187     -53       3 
173     -51       3 
167     -50       3 
155     -45       3 
145     -40       3 
140     -35       3 
134     -30       3 
