# author: kadrlica@archimedes.dhcp.fnal.gov
# date: 2017/01/26 16:40:25 UTC
# version: obztak v3.0.dev3+2.g9a48de7.dirty
HEX,RA,DEC,FILTER,EXPTIME,TILING,PRIORITY,DATE,AIRMASS,SLEW,MOONANGLE,HOURANGLE
272,0.0000,-31.7170,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
272,0.0000,-31.7170,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
272,0.0000,-31.7170,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
272,0.0000,-31.7170,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
274,180.0000,-31.7170,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
274,180.0000,-31.7170,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
274,180.0000,-31.7170,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
279,315.0000,-35.2640,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
279,315.0000,-35.2640,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
279,315.0000,-35.2640,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
279,315.0000,-35.2640,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
286,225.0000,-35.2640,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
286,225.0000,-35.2640,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
286,225.0000,-35.2640,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
704,297.5470,-30.5110,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
704,297.5470,-30.5110,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
704,297.5470,-30.5110,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
704,297.5470,-30.5110,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
726,299.6090,-31.0400,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
726,299.6090,-31.0400,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
726,299.6090,-31.0400,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
749,301.6840,-31.5310,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
749,301.6840,-31.5310,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
749,301.6840,-31.5310,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
749,301.6840,-31.5310,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
750,303.1510,-30.3740,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
750,303.1510,-30.3740,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
750,303.1510,-30.3740,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
750,303.1510,-30.3740,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
769,303.7670,-31.9810,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
769,303.7670,-31.9810,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
769,303.7670,-31.9810,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
769,303.7670,-31.9810,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
770,305.2110,-30.7850,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
770,305.2110,-30.7850,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
770,305.2110,-30.7850,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
770,305.2110,-30.7850,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
786,305.8560,-32.3920,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
786,305.8560,-32.3920,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
786,305.8560,-32.3920,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
786,305.8560,-32.3920,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
787,307.2740,-31.1560,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
787,307.2740,-31.1560,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
787,307.2740,-31.1560,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
787,307.2740,-31.1560,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
800,307.9470,-32.7640,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
800,307.9470,-32.7640,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
800,307.9470,-32.7640,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
800,307.9470,-32.7640,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
801,309.3360,-31.4870,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
801,309.3360,-31.4870,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
801,309.3360,-31.4870,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
801,309.3360,-31.4870,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
802,310.6960,-30.1820,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
802,310.6960,-30.1820,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
802,310.6960,-30.1820,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
802,310.6960,-30.1820,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
810,318.7780,-31.0220,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
810,318.7780,-31.0220,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
810,318.7780,-31.0220,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
810,318.7780,-31.0220,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
811,310.0370,-33.0970,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
811,310.0370,-33.0970,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
811,310.0370,-33.0970,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
811,310.0370,-33.0970,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
812,311.3950,-31.7810,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
812,311.3950,-31.7810,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
812,311.3950,-31.7810,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
812,311.3950,-31.7810,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
813,312.7250,-30.4410,g,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
813,312.7250,-30.4410,r,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
813,312.7250,-30.4410,i,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
813,312.7250,-30.4410,z,90.0000,1,1,,-1.0000,-1.0000,-1.0000,-1.0000
