# author: kadrlica@archimedes.local
# date: 2017/01/07 04:45:53 UTC
# version: obztak v3.0.dev2+52.g09c476e
UTC_START,UTC_END
2017/02/08 05:04:00,2017/02/08 09:12:00
2017/02/09 05:05:00,2017/02/09 09:13:00
2017/02/14 05:07:33,2017/02/14 09:16:38
2017/02/15 05:07:31,2017/02/15 09:17:37
2017/02/20 05:07:07,2017/02/20 09:22:22
2017/02/21 05:07:01,2017/02/21 09:23:17
2017/03/08 00:12:34,2017/03/08 04:44:13
2017/03/18 05:01:30,2017/03/18 09:43:02
2017/04/14 04:53:42,2017/04/14 09:59:22
2017/04/15 04:53:27,2017/04/15 09:59:55
2017/05/02 23:10:43,2017/05/03 04:30:15
2017/05/30 22:57:42,2017/05/31 04:30:58
2017/05/31 22:57:32,2017/06/01 04:31:07
2017/06/01 22:57:24,2017/06/02 04:31:16
2017/06/02 22:57:17,2017/06/03 10:25:35
2017/06/03 22:57:11,2017/06/04 10:26:01
2017/06/04 22:57:06,2017/06/05 10:26:26
2017/07/02 04:57:14,2017/07/02 10:32:55
2017/07/03 04:57:25,2017/07/03 10:32:56
2017/07/16 04:59:12,2017/07/16 10:31:07
