# DELVE MC region
# 25 deg around LMC
# 15 deg around SMC
#RA DEC
-1.79045e+2 -7.84577e+1
-1.75558e+2 -7.88359e+1
-1.68941e+2 -8.08523e+1
-1.62549e+2 -8.19509e+1
-1.56380e+2 -8.25840e+1
-1.51557e+2 -8.32037e+1
-1.45824e+2 -8.36961e+1
#-1.40108e+2 -8.33914e+1
-1.33715e+2 -8.45786e+1
-1.27323e+2 -8.48425e+1
-1.21046e+2 -8.49876e+1
-1.14537e+2 -8.52118e+1
-1.08144e+2 -8.54229e+1
-1.01752e+2 -8.54229e+1
-9.53591e+1 -8.54229e+1
-8.89664e+1 -8.54229e+1
-8.25737e+1 -8.51591e+1
-7.61810e+1 -8.49744e+1
-6.97883e+1 -8.48425e+1
-6.28532e+1 -8.45578e+1
-5.59324e+1 -8.40520e+1
-4.97232e+1 -8.36396e+1
-4.72976e+1 -8.28358e+1
-4.64010e+1 -7.88060e+1
-4.24741e+1 -7.50204e+1
-3.57585e+1 -7.10018e+1
-2.96887e+1 -6.78780e+1
-2.32960e+1 -6.51342e+1
-1.69033e+1 -6.28125e+1
-1.05106e+1 -6.10448e+1
-3.53674e+0 -5.94647e+1
2.72681e+0 -5.85618e+1
8.66750e+0 -5.81426e+1
1.50602e+1 -5.75996e+1
2.14529e+1 -5.79785e+1
2.67248e+1 -5.88326e+1
3.26692e+1 -5.61558e+1
3.69863e+1 -5.46269e+1
4.06310e+1 -5.29187e+1
4.70237e+1 -5.07025e+1
5.34164e+1 -4.87238e+1
5.97509e+1 -4.72015e+1
6.62017e+1 -4.60327e+1
7.25944e+1 -4.52412e+1
7.89871e+1 -4.47927e+1
8.53798e+1 -4.48982e+1
9.17725e+1 -4.54523e+1
9.81652e+1 -4.62965e+1
1.04558e+2 -4.76157e+1
1.10951e+2 -4.92515e+1
1.17343e+2 -5.13357e+1
1.23736e+2 -5.36839e+1
1.30129e+2 -5.63749e+1
1.36347e+2 -5.91294e+1
1.42914e+2 -6.23639e+1
1.49307e+2 -6.55035e+1
1.55699e+2 -6.84848e+1
1.62092e+2 -7.13006e+1
1.68485e+2 -7.38605e+1
1.76222e+2 -7.66021e+1
1.79045e+2 -7.74577e+1
