# author: DECamObserver@observer2.ctio.noao.edu
# date: 2018/07/21 19:59:30 UTC
# version: obztak v3.3rc5+32.g4926d88.dirty
HEX,RA,DEC,FILTER,EXPTIME,TILING,PRIORITY,DATE,AIRMASS,SLEW,MOONANGLE,HOURANGLE
266,270.0000,-58.2830,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
266,270.0000,-58.2830,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
297,264.9620,-59.0270,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
297,264.9620,-59.0270,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
298,268.3820,-59.4060,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
298,268.3820,-59.4060,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
299,270.0000,-63.7430,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
299,270.0000,-63.7430,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
300,262.8190,-60.2180,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
300,262.8190,-60.2180,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
301,266.3580,-60.6880,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
301,266.3580,-60.6880,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
302,270.0000,-66.4810,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
302,270.0000,-66.4810,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
303,257.3030,-60.6820,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
303,257.3030,-60.6820,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
304,260.5880,-61.3690,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
304,260.5880,-61.3690,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
305,264.2280,-61.9030,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
305,264.2280,-61.9030,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
306,268.0160,-62.3120,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
306,268.0160,-62.3120,i,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
308,251.6860,-60.9090,r,90.0000,1,4,,-1.0000,-1.0000,-1.0000,-1.0000
