# author: kadrlica@galileo.local
# date: 2018/07/10 20:26:51 UTC
# version: obztak v3.3rc5+17.g8dc82e1.dirty
UTC_START,UTC_END
2018/07/20 23:22:00,2018/07/21 10:31:00
2018/07/21 22:58:00,2018/07/22 10:30:00
2018/07/22 22:58:00,2018/07/23 10:40:00
2018/07/23 23:08:00,2018/07/24 10:29:00
2019/02/24 00:27:49,2019/02/24 09:25:34
2019/02/25 00:26:39,2019/02/25 09:26:27
2019/02/26 00:25:27,2019/02/26 09:27:20
2019/02/27 00:24:15,2019/02/27 09:28:11
2019/06/22 22:58:43,2019/06/23 10:31:56
2019/06/23 22:58:58,2019/06/24 10:32:07
