# This file is an approximation to the footprint for ease of plotting.
# It should not be used for any real footprint selection.
#RA     DEC     POLY
91.0    -30.0   1 
95.0    -30.0   1
100.0   -30.0   1
105.0   -30.0   1
107.0   -30.0   1 
108.5   -32.7   1 
110.5   -36.3   1 
113.4   -40.7   1 
116.5   -44.8   1 
120.0   -49.3   1 
122.6   -51.9   1 
125.9   -55.0   1 
120.0   -55.0   1 
115.0   -55.0   1 
110.0   -55.0   1 
105.0   -55.0   1 
100.0   -55.0   1 
98.7    -55.0   1 
97.2    -48.9   1 
95.8    -44.8   1 
94.7    -41.5   1 
93.3    -37.5   1 
91.7    -32.7   1 
91.0    -30.0   1 
#-54.0   -30.0   2
-54.0   -40.0   2
-55.0   -50.0   2
-56.0   -60.0   2
-57.0   -65.0   2
-60.0   -65.0   2
-60.00  -59.4   2 
-63.49  -60.72  2 
-69.88  -62.79  2 
-75.5   -64.55  2 
-81.01  -66.3   2 
-88.5   -68.41  2 
-96.99  -70.39  2 
-106.58 -72.38  2 
-114.62 -73.68  2 
-125.05 -74.77  2 
-135.83 -76.02  2 
-147.0  -76.73  2 
-152.9  -76.9   2 
-154.73 -76.3   2 
-162.23 -75.1   2 
-171.59 -72.82  2 
-161.3  -72.6   2
-153.2  -72.5   2
-145.6  -71.7   2
-137.0  -70.7   2
-128.5  -68.7   2
-120.0  -66.3   2
-113.0  -63.6   2
-106.8  -60.0   2
-101.7  -56.3   2
-98.3   -53.3   2
-95.1   -50.1   2
-91.7   -46.1   2
-88.9   -42.4   2
#-85.4   -37.2   2
#-83.1   -33.4   2
#-81.2   -30.0   2
#-75.0   -30.0   2
#-70.0   -30.0   2
#-65.0   -30.0   2
#-60.0   -30.0   2
#-55.0   -30.0   2
-85.4   -40.0   2
-83.1   -40.0   2
-81.2   -40.0   2
-75.0   -40.0   2
-70.0   -40.0   2
-65.0   -40.0   2
-60.0   -40.0   2
-55.0   -40.0   2
