# ID        RA           DEC
    1       14.7577     -31.9322
    2       13.8659     -33.0858
    3       12.5783     -33.9486
    4       11.0187     -34.4304
    5       9.34961     -34.4798
    6       7.75052     -34.0913
    7       6.39009     -33.3067
    8       5.31167     -32.0583
    9       4.83932     -30.7415
   10       4.85626     -29.3644
   11       5.34158     -28.0547
   12       6.23637     -26.9293
   13       7.45291     -26.0858
   14       8.88300     -25.5960
   15       10.4058     -25.5009
   16       12.5840     -26.1046
   17       13.7930     -26.9569
   18       14.6776     -28.0888
   19       15.1507     -29.4020
   20       15.1542     -30.7791
   21       12.4955     -31.6166
   22       11.4697     -32.3720
   23       10.1535     -32.6813
   24       8.80656     -32.4831
   25       7.69637     -31.8169
   26       7.04709     -30.8508
   27       6.92358     -29.7037
   28       7.36128     -28.6168
   29       8.26644     -27.7856
   30       9.47228     -27.3557
   31       10.7687     -27.4015
   32       11.3896     -27.6074
   33       12.4064     -28.3291
   34       13.0001     -29.3572
   35       13.0517     -30.5084
   36       17.7070     -33.8447
   37       16.5661     -35.1937
   38       15.0605     -36.2937
   39       13.2611     -37.0819
   40       11.2658     -37.5110
   41       9.19322     -37.5545
   42       7.17002     -37.2098
   43       5.31765     -36.4981
   44       3.73951     -35.4625
   45       2.37449     -33.9671
   46       1.60479     -32.4543
   47       1.25669     -30.8371
   48       1.32506     -29.1940
   49       1.78701     -27.6008
   50       2.60614     -26.1280
   51       3.73579     -24.8382
   52       5.12143     -23.7852
   53       6.70251     -23.0121
   54       8.41394     -22.5501
   55       10.1876     -22.4177
   56       11.9539     -22.6204
   57       14.0950     -23.3549
   58       15.5879     -24.2702
   59       16.8550     -25.4456
   60       17.8384     -26.8327
   61       18.4872     -28.3730
   62       18.7595     -29.9999
   63       18.6251     -31.6400
   64       16.2571     -32.9912
   65       15.2035     -34.2418
   66       13.7785     -35.2228
   67       12.0735     -35.8625
   68       10.2110     -36.1123
   69       8.33219     -35.9530
   70       6.58063     -35.3968
   71       5.08421     -34.4863
   72       4.17583     -33.5932
   73       3.34865     -32.2325
   74       2.96353     -30.7405
   75       3.02410     -29.2138
   76       3.50707     -27.7463
   77       4.36812     -26.4249
   78       5.54681     -25.3253
   79       6.97069     -24.5091
   80       8.55864     -24.0213
   81       10.2239     -23.8884
   82       11.8773     -24.1177
   83       13.4483     -24.7063
   84       14.8114     -25.6072
   85       15.9080     -26.7757
   86       16.6686     -28.1462
   87       17.0369     -29.6394
   88       16.9739     -31.1661
   89       21.3983     -33.4067
   90       20.5877     -35.1028
   91       19.3880     -36.6457
   92       17.8208     -37.9770
   93       15.9292     -39.0423
   94       13.7793     -39.7955
   95       11.4587     -40.2023
   96       9.07084     -40.2434
   97       6.72590     -39.9170
   98       4.52973     -39.2384
   99       2.57411     -38.2389
  100      0.930209     -36.9624
  101       359.224     -34.7827
  102       358.490     -33.0637
  103       358.148     -31.2633
  104       358.185     -29.4399
  105       358.581     -27.6498
  106       359.307     -25.9451
  107      0.329750     -24.3739
  108       1.61260     -22.9792
  109       3.11553     -21.7982
  110       4.79588     -20.8625
  111       6.60870     -20.1965
  112       8.50716     -19.8178
  113       10.4432     -19.7364
  114       12.3680     -19.9544
  115       14.9257     -20.7389
  116       16.6300     -21.6336
  117       18.1638     -22.7777
  118       19.4841     -24.1411
  119       20.5505     -25.6872
  120       21.3255     -27.3738
  121       21.7755     -29.1538
  122       21.8713     -30.9756
  123       21.5902     -32.7835
  124       19.9362     -32.9278
  125       19.1468     -34.5399
  126       17.9616     -35.9868
  127       16.4118     -37.2039
  128       14.5526     -38.1336
  129       12.4647     -38.7292
  130       10.2495     -38.9598
  131       8.02125     -38.8129
  132       5.89560     -38.2965
  133       3.97776     -37.4376
  134       2.35335     -36.2797
  135      0.740448     -34.3591
  136       359.998     -32.7322
  137       359.661     -31.0153
  138       359.719     -29.2754
  139      0.150691     -27.5767
  140      0.924153     -25.9789
  141       2.00103     -24.5362
  142       3.33747     -23.2963
  143       4.88529     -22.2995
  144       6.59281     -21.5776
  145       8.40560     -21.1536
  146       10.2674     -21.0411
  147       12.1209     -21.2436
  148       14.5770     -22.0344
  149       16.1823     -22.9454
  150       17.5926     -24.1106
  151       18.7585     -25.4925
  152       19.6347     -27.0457
  153       20.1807     -28.7181
